material_id,reason
mp-867132,API did not return this material
mp-553952,API did not return this material
mp-778022,API did not return this material
mp-767658,API did not return this material
mp-762172,API did not return this material
mp-772391,API did not return this material
mp-32443,API did not return this material
mp-25681,API did not return this material
mp-763041,API did not return this material
mp-769833,API did not return this material
mp-764572,API did not return this material
mp-24973,API did not return this material
mp-775792,API did not return this material
mp-764090,API did not return this material
mp-851283,API did not return this material
mp-765374,API did not return this material
mp-771417,API did not return this material
mp-569975,API did not return this material
mp-763386,API did not return this material
mp-850094,API did not return this material
mp-766993,API did not return this material
mp-649654,API did not return this material
mp-780014,API did not return this material
mp-763466,API did not return this material
mp-766619,API did not return this material
mp-763227,API did not return this material
mp-780017,API did not return this material
mp-769898,API did not return this material
mp-868143,API did not return this material
mp-619836,API did not return this material
mp-764565,API did not return this material
mp-775846,API did not return this material
mp-763596,API did not return this material
mp-765672,API did not return this material
mp-762170,API did not return this material
mp-767853,API did not return this material
mp-771114,API did not return this material
mp-541267,API did not return this material
mp-777935,API did not return this material
mp-560822,API did not return this material
mp-761670,API did not return this material
mp-540008,API did not return this material
mp-764749,API did not return this material
mp-764635,API did not return this material
mp-765911,API did not return this material
mp-850114,API did not return this material
mp-542425,API did not return this material
mp-570711,API did not return this material
mp-766795,API did not return this material
mp-743741,API did not return this material
mp-770234,API did not return this material
mp-565522,API did not return this material
mp-764955,API did not return this material
mp-771790,API did not return this material
mp-741706,API did not return this material
mp-773715,API did not return this material
mp-25002,API did not return this material
mp-18134,API did not return this material
mp-773536,API did not return this material
mp-565743,API did not return this material
mp-764356,API did not return this material
mp-765198,API did not return this material
mp-505707,API did not return this material
mp-561493,API did not return this material
mp-767075,API did not return this material
mp-780648,API did not return this material
mp-764212,API did not return this material
mp-764976,API did not return this material
mp-766848,API did not return this material
mp-616718,API did not return this material
mp-705574,API did not return this material
mp-778275,API did not return this material
mp-765550,API did not return this material
mp-770249,API did not return this material
mp-766650,API did not return this material
mp-780836,API did not return this material
mp-542167,API did not return this material
mp-997510,API did not return this material
mp-566812,API did not return this material
mp-616490,API did not return this material
mp-867745,API did not return this material
mp-760918,API did not return this material
mp-745175,API did not return this material
mp-561238,API did not return this material
mp-540405,API did not return this material
mp-25764,API did not return this material
mp-777328,API did not return this material
mp-868327,API did not return this material
mp-763066,API did not return this material
mp-868348,API did not return this material
mp-762542,API did not return this material
